,Unnamed: 0.1,Unnamed: 0,date,district,n_battles,n_explosions,n_protests,n_riots,n_strategicdev,n_violcivilians,n_conflict_total
125,125,125,2021-01-01,Afmadow,2.0,2.0,,,,,4.0
126,126,126,2021-02-01,Afmadow,7.0,1.0,,,,2.0,10.0
127,127,127,2021-03-01,Afmadow,4.0,,,,,2.0,6.0
128,128,128,2021-04-01,Afmadow,4.0,1.0,,,,,5.0
129,129,129,2021-05-01,Afmadow,4.0,2.0,,,,1.0,7.0
130,130,130,2021-06-01,Afmadow,4.0,,,,,,4.0
131,131,131,2021-07-01,Afmadow,4.0,,,,,2.0,6.0
132,132,132,2021-08-01,Afmadow,5.0,,,,,1.0,6.0
133,133,133,2021-09-01,Afmadow,2.0,,,,,,2.0
134,134,134,2021-10-01,Afmadow,2.0,,,,,,2.0
135,135,135,2016-10-01,Baardheere,5.0,2.0,,,,1.0,8.0
136,136,136,2016-12-01,Baardheere,,1.0,,,,1.0,2.0
137,137,137,2017-01-01,Baardheere,2.0,1.0,,,,1.0,4.0
138,138,138,2017-03-01,Baardheere,1.0,1.0,,,,1.0,3.0
139,139,139,2017-04-01,Baardheere,2.0,4.0,,,1.0,,7.0
140,140,140,2017-05-01,Baardheere,4.0,1.0,,,,,5.0
141,141,141,2017-06-01,Baardheere,9.0,6.0,,,,,15.0
142,142,142,2017-07-01,Baardheere,4.0,4.0,,,1.0,1.0,10.0
143,143,143,2017-08-01,Baardheere,1.0,2.0,,,1.0,1.0,5.0
144,144,144,2017-09-01,Baardheere,1.0,4.0,,,3.0,,8.0
145,145,145,2017-10-01,Baardheere,1.0,,,,,,1.0
146,146,146,2017-11-01,Baardheere,,1.0,,,,,1.0
147,147,147,2017-12-01,Baardheere,,1.0,,,1.0,1.0,3.0
148,148,148,2018-02-01,Baardheere,4.0,1.0,,,1.0,,6.0
149,149,149,2018-03-01,Baardheere,2.0,1.0,,,,,3.0
150,150,150,2018-04-01,Baardheere,,1.0,,,,,1.0
151,151,151,2018-06-01,Baardheere,2.0,1.0,,,,1.0,4.0
152,152,152,2018-07-01,Baardheere,1.0,2.0,,,1.0,1.0,5.0
153,153,153,2018-08-01,Baardheere,2.0,,,,,,2.0
154,154,154,2018-09-01,Baardheere,,2.0,,,,1.0,3.0
155,155,155,2018-10-01,Baardheere,1.0,1.0,1.0,,,2.0,5.0
156,156,156,2018-11-01,Baardheere,1.0,,1.0,,,,2.0
157,157,157,2018-12-01,Baardheere,,1.0,,,,,1.0
158,158,158,2019-01-01,Baardheere,,,,,,1.0,1.0
159,159,159,2019-02-01,Baardheere,2.0,3.0,1.0,,,,6.0
160,160,160,2019-03-01,Baardheere,,,,,1.0,,1.0
161,161,161,2019-04-01,Baardheere,1.0,1.0,1.0,,1.0,,4.0
162,162,162,2019-05-01,Baardheere,1.0,,,,,,1.0
163,163,163,2019-06-01,Baardheere,4.0,,,,,,4.0
164,164,164,2019-07-01,Baardheere,,3.0,,,,,3.0
165,165,165,2019-08-01,Baardheere,2.0,,,,1.0,,3.0
166,166,166,2019-09-01,Baardheere,1.0,,,,,,1.0
167,167,167,2019-10-01,Baardheere,1.0,,,1.0,,,2.0
168,168,168,2019-11-01,Baardheere,2.0,,,,1.0,,3.0
169,169,169,2019-12-01,Baardheere,2.0,,,,,,2.0
170,170,170,2020-01-01,Baardheere,2.0,,,,,,2.0
171,171,171,2020-02-01,Baardheere,1.0,,,,,1.0,2.0
172,172,172,2020-03-01,Baardheere,2.0,,,,,,2.0
173,173,173,2020-05-01,Baardheere,1.0,3.0,,,,,4.0
174,174,174,2020-06-01,Baardheere,1.0,,,,,,1.0
175,175,175,2020-08-01,Baardheere,1.0,,,,,,1.0
176,176,176,2020-09-01,Baardheere,1.0,1.0,1.0,,,1.0,4.0
177,177,177,2020-10-01,Baardheere,3.0,2.0,,,,,5.0
178,178,178,2020-11-01,Baardheere,1.0,,1.0,,,2.0,4.0
179,179,179,2020-12-01,Baardheere,2.0,1.0,,,,,3.0
180,180,180,2021-01-01,Baardheere,1.0,1.0,,,,,2.0
181,181,181,2021-02-01,Baardheere,,3.0,1.0,,,,4.0
182,182,182,2021-03-01,Baardheere,,1.0,,,,,1.0
183,183,183,2021-06-01,Baardheere,2.0,,,,,,2.0
184,184,184,2021-07-01,Baardheere,3.0,1.0,,,,,4.0
185,185,185,2021-08-01,Baardheere,3.0,,,,,1.0,4.0
186,186,186,2021-09-01,Baardheere,3.0,1.0,,,,,4.0
187,187,187,2021-10-01,Baardheere,,1.0,,,,,1.0
188,188,188,2016-11-01,Badhaadhe,1.0,,,,,,1.0
189,189,189,2017-01-01,Badhaadhe,3.0,1.0,,,,,4.0
190,190,190,2017-03-01,Badhaadhe,3.0,1.0,,,,,4.0
191,191,191,2017-04-01,Badhaadhe,4.0,1.0,,,,,5.0
192,192,192,2017-05-01,Badhaadhe,3.0,,,,,,3.0
193,193,193,2017-06-01,Badhaadhe,3.0,,,,,,3.0
194,194,194,2017-07-01,Badhaadhe,2.0,3.0,,,,1.0,6.0
195,195,195,2017-08-01,Badhaadhe,,1.0,,,,,1.0
196,196,196,2017-09-01,Badhaadhe,,2.0,,,,,2.0
197,197,197,2017-10-01,Badhaadhe,,2.0,,,,1.0,3.0
198,198,198,2017-11-01,Badhaadhe,2.0,1.0,,,,,3.0
199,199,199,2018-01-01,Badhaadhe,1.0,2.0,1.0,,1.0,,5.0
200,200,200,2018-02-01,Badhaadhe,1.0,,,,,,1.0
201,201,201,2018-03-01,Badhaadhe,1.0,1.0,,,,,2.0
202,202,202,2018-04-01,Badhaadhe,,,,,1.0,,1.0
203,203,203,2018-06-01,Badhaadhe,3.0,,,,,1.0,4.0
204,204,204,2018-07-01,Badhaadhe,2.0,,,,,,2.0
205,205,205,2018-08-01,Badhaadhe,1.0,,,,,,1.0
206,206,206,2018-10-01,Badhaadhe,1.0,1.0,,,,,2.0
207,207,207,2019-01-01,Badhaadhe,,1.0,,,,,1.0
208,208,208,2019-02-01,Badhaadhe,2.0,,,,,,2.0
209,209,209,2019-04-01,Badhaadhe,,1.0,,,,,1.0
210,210,210,2019-05-01,Badhaadhe,1.0,,,,,,1.0
211,211,211,2019-06-01,Badhaadhe,1.0,3.0,,,,,4.0
212,212,212,2019-07-01,Badhaadhe,3.0,,,,,2.0,5.0
213,213,213,2019-09-01,Badhaadhe,,1.0,,,,,1.0
214,214,214,2019-10-01,Badhaadhe,2.0,1.0,,,1.0,1.0,5.0
215,215,215,2019-12-01,Badhaadhe,2.0,1.0,,,,,3.0
216,216,216,2020-01-01,Badhaadhe,1.0,,,,,,1.0
217,217,217,2020-02-01,Badhaadhe,,1.0,,,,,1.0
218,218,218,2020-03-01,Badhaadhe,1.0,1.0,,,,2.0,4.0
219,219,219,2020-04-01,Badhaadhe,6.0,,,,,,6.0
220,220,220,2020-05-01,Badhaadhe,1.0,,,,,1.0,2.0
221,221,221,2020-06-01,Badhaadhe,3.0,1.0,,,,,4.0
222,222,222,2020-07-01,Badhaadhe,5.0,,,,,,5.0
223,223,223,2020-08-01,Badhaadhe,1.0,1.0,,,,,2.0
224,224,224,2020-09-01,Badhaadhe,7.0,,,,,,7.0
225,225,225,2020-10-01,Badhaadhe,3.0,1.0,,,,,4.0
226,226,226,2020-11-01,Badhaadhe,4.0,,,,,,4.0
227,227,227,2020-12-01,Badhaadhe,5.0,,,,,,5.0
228,228,228,2021-01-01,Badhaadhe,6.0,2.0,,,,,8.0
229,229,229,2021-02-01,Badhaadhe,3.0,1.0,,,,,4.0
230,230,230,2021-03-01,Badhaadhe,1.0,,,,,1.0,2.0
231,231,231,2021-04-01,Badhaadhe,2.0,,,,,,2.0
232,232,232,2021-05-01,Badhaadhe,3.0,1.0,,,,,4.0
233,233,233,2021-06-01,Badhaadhe,4.0,1.0,,,,1.0,6.0
234,234,234,2021-07-01,Badhaadhe,7.0,2.0,,,,,9.0
235,235,235,2021-08-01,Badhaadhe,6.0,3.0,,,,,9.0
236,236,236,2021-09-01,Badhaadhe,9.0,1.0,,,,,10.0
237,237,237,2021-10-01,Badhaadhe,3.0,,,,,,3.0
238,238,238,2018-05-01,Baki,,,1.0,,,,1.0
239,239,239,2019-10-01,Baki,1.0,,,,,,1.0
240,240,240,2020-08-01,Baki,,,1.0,,,,1.0
241,241,241,2016-12-01,Balcad,3.0,,,,3.0,1.0,7.0
242,242,242,2017-01-01,Balcad,2.0,,,,,,2.0
243,243,243,2017-02-01,Balcad,3.0,,,,,1.0,4.0
244,244,244,2017-04-01,Balcad,2.0,,,,,,2.0
245,245,245,2017-06-01,Balcad,3.0,3.0,,,,2.0,8.0
246,246,246,2017-07-01,Balcad,2.0,,,,,,2.0
247,247,247,2017-08-01,Balcad,1.0,1.0,,,,,2.0
248,248,248,2017-09-01,Balcad,2.0,,,,,,2.0
249,249,249,2017-10-01,Balcad,2.0,4.0,,,,,6.0
250,250,250,2017-11-01,Balcad,2.0,1.0,,,3.0,,6.0
251,251,251,2017-12-01,Balcad,2.0,,,,1.0,,3.0
252,252,252,2018-01-01,Balcad,9.0,,,,,1.0,10.0
253,253,253,2018-02-01,Balcad,1.0,5.0,,,,,6.0
254,254,254,2018-03-01,Balcad,7.0,,,,1.0,1.0,9.0
255,255,255,2018-04-01,Balcad,4.0,,,,2.0,,6.0
256,256,256,2018-05-01,Balcad,2.0,,,,,,2.0
257,257,257,2018-06-01,Balcad,5.0,3.0,,,,2.0,10.0
258,258,258,2018-07-01,Balcad,6.0,1.0,,,1.0,1.0,9.0
259,259,259,2018-08-01,Balcad,7.0,5.0,,,,,12.0
260,260,260,2018-09-01,Balcad,2.0,,,,3.0,,5.0
261,261,261,2018-10-01,Balcad,1.0,1.0,,,,1.0,3.0
262,262,262,2018-11-01,Balcad,1.0,,,,,2.0,3.0
263,263,263,2018-12-01,Balcad,4.0,1.0,,,,,5.0
264,264,264,2019-01-01,Balcad,1.0,1.0,,,,,2.0
265,265,265,2019-02-01,Balcad,6.0,7.0,,,,1.0,14.0
266,266,266,2019-03-01,Balcad,4.0,3.0,,,2.0,2.0,11.0
267,267,267,2019-04-01,Balcad,2.0,3.0,,,,4.0,9.0
268,268,268,2019-05-01,Balcad,3.0,3.0,,,1.0,,7.0
269,269,269,2019-06-01,Balcad,3.0,3.0,1.0,,1.0,,8.0
270,270,270,2019-07-01,Balcad,5.0,4.0,,,1.0,4.0,14.0
271,271,271,2019-08-01,Balcad,6.0,5.0,1.0,,2.0,3.0,17.0
272,272,272,2019-09-01,Balcad,9.0,10.0,1.0,,1.0,5.0,26.0
273,273,273,2019-10-01,Balcad,1.0,4.0,,,3.0,,8.0
274,274,274,2019-11-01,Balcad,2.0,,,,1.0,4.0,7.0
275,275,275,2019-12-01,Balcad,6.0,1.0,,,1.0,1.0,9.0
276,276,276,2020-01-01,Balcad,1.0,4.0,,,,,5.0
277,277,277,2020-02-01,Balcad,3.0,2.0,,,,1.0,6.0
278,278,278,2020-03-01,Balcad,2.0,1.0,,,,2.0,5.0
279,279,279,2020-04-01,Balcad,2.0,2.0,,,,1.0,5.0
280,280,280,2020-05-01,Balcad,5.0,2.0,1.0,,,4.0,12.0
281,281,281,2020-06-01,Balcad,6.0,2.0,,,,,8.0
282,282,282,2020-07-01,Balcad,4.0,1.0,,,,1.0,6.0
283,283,283,2020-08-01,Balcad,5.0,1.0,,,,2.0,8.0
