,Unnamed: 0,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,prevalence_6lag,next_prevalence,month,increase,increase_numeric,district_encoded,Cowpea,Maize,Sorghum,crop
29,29,2017-07-01,Xarardheere,278193.50999999995,55638.70199999999,26328.233786400004,21120.451279199995,5207.782507199999,0.4732000000000002,0.0935999999999999,0.25,14.223333333333334,0.1566666666666666,10.833333333333334,6.0,3.5,4.793407,47.83268,,0.4004000000000001,7,False,-0.0728,75,80.0,,11.0,
30,30,2017-07-01,Lughaye,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796,0.0793,0.36,5.794999999999999,0.09,4.5,2.6666666666666665,1.0,10.64738,43.57811999999999,,0.169,7,False,-0.2105999999999999,58,,,,
31,31,2017-07-01,Laas Caanood,170114.66999999998,34022.934,15038.136828000002,11499.751692000002,3538.385136000001,0.442,0.104,0.39,14.101666666666668,0.1533333333333333,107.08333333333331,6.0,4.166666666666667,8.438008,47.63642000000001,,0.2911999999999999,7,False,-0.1508000000000001,55,,,,
32,32,2017-07-01,Gaalkacyo,630641.6,126128.32,60502.893984,48576.846032,11926.047952,0.4796931726673279,0.0945548783334305,0.58,11.296666666666669,0.175,20.0,10.5,9.166666666666666,6.935230000000001,47.68801,,0.4004,7,False,-0.0792931726673279,40,,,,
33,33,2017-07-01,Garbahaarey,91374.975,18274.995,7887.487842,6699.613167,1187.874675,0.4316,0.065,0.23,27.505,0.2483333333333333,,2.333333333333333,1.2,3.205999,42.35913,,0.3925999999999999,7,False,-0.039,42,15.0,516.0,30.0,187.0
34,34,2017-07-01,Eyl,105162.21,21032.442000000003,9515.0767608,7929.230634,1585.8461268,0.4523999999999998,0.0753999999999999,0.26,18.746666666666663,0.1483333333333333,60.0,3.1666666666666665,1.0,8.094348,49.56446,,0.3795999999999999,7,False,-0.0727999999999999,39,,,,
35,35,2017-07-01,Garoowe,207534.915,41506.983,19024.629109200006,15697.506591,3327.122518200001,0.458347673913086,0.0801581391304687,0.13,19.626666666666665,0.1383333333333333,4.166666666666667,6.833333333333333,3.0,8.470396000000001,48.78639,,0.3795999999999999,7,False,-0.0787476739130861,43,,,,
36,36,2017-07-01,Doolow,50233.7,10046.74,4376.618584000002,3699.313124,677.3054599999999,0.4356257436740676,0.0674154462044404,0.23,18.89166666666667,0.18,,1.1666666666666667,1.0,4.002533000000001,42.1408,,0.3926,7,False,-0.0430257436740675,38,8.0,656.0,,
37,37,2017-07-01,Gebiley,146038.5,29207.7,9872.2026,7442.121959999999,2430.08064,0.338,0.0831999999999999,0.15,27.05333333333333,0.17,10.166666666666666,3.333333333333333,1.5,9.859568,43.68093,,0.1975999999999999,7,False,-0.1404000000000001,44,,60.0,12.0,
38,38,2017-07-01,Diinsoor,100108.305,20021.661,7183.771966800001,4945.350267000002,2238.4216998,0.3588,0.1118,0.39,43.045,0.3716666666666666,38.29166666666666,9.333333333333334,3.0,2.102024,42.90189,,0.2886000000000001,7,False,-0.0701999999999999,37,384.0,1.32,8.1,131.14000000000001
39,39,2017-07-01,Hargeysa,1071923.705,214384.741,73445.88245800001,55654.83200680001,17791.050451200004,0.3425891325819686,0.0829865519729317,0.08,19.46333333333333,0.0,12.0,6.5,3.1666666666666665,9.521626,44.28073,,0.1975999999999999,7,False,-0.1449891325819687,45,,30.0,2.8,
40,40,2017-07-01,Dhuusamarreeb,166457.645,33291.528999999995,17555.47508,13450.048211599998,4105.4268684,0.5273255872387238,0.1233174621808448,0.37,10.686666666666667,0.1883333333333333,18.375,5.166666666666667,1.8,5.441128,46.68404999999999,,0.4212,7,False,-0.1061255872387237,36,,,,
41,41,2017-07-01,Hobyo,285434.37,57086.874,27013.508776800005,21670.177370400004,5343.3314064000015,0.4732,0.0936,0.5,8.616666666666667,0.1416666666666667,20.0,5.666666666666667,2.2,5.971543,48.20153,,0.4003999999999999,7,False,-0.0728,46,,,,
42,42,2017-07-01,Ceerigaabo,239221.62,47844.324,21271.5864504,16731.1601028,4540.426347600001,0.4446,0.0949,0.34,16.77,0.1333333333333333,44.583333333333336,5.166666666666667,1.0,10.29076,47.8071,,0.3367000000000001,7,False,-0.1078999999999998,35,,,,
43,43,2017-07-01,Iskushuban,82588.86,16517.772,6699.608323200001,5583.006936000002,1116.6013872,0.4056,0.0676,0.28,7.430000000000001,0.1366666666666667,30.0,2.1666666666666665,1.5,10.5516,50.50521,,0.3432,7,False,-0.0624,47,,,,
44,44,2017-07-01,Ceel Waaq,32041.53,6408.306000000001,2765.8248696,2349.2849796,416.53989000000007,0.4315999999999999,0.065,0.14,33.525,0.295,15.666666666666666,7.5,3.0,2.6789779999999994,41.44526,,0.3925999999999998,7,False,-0.039,34,,,,
45,45,2017-07-01,Jalalaqsi,76346.775,15269.355,6550.5532950000015,5280.142959000002,1270.410336,0.4290000000000001,0.0832,0.33,16.093333333333334,0.2583333333333333,10.0,5.333333333333333,1.5,3.40329,45.61273,,0.3925999999999999,7,False,-0.0364000000000002,48,,200.0,360.0,
46,46,2017-07-01,Ceel Dheer,130366.52999999998,26073.306,13558.11912,10439.751722399998,3118.3673976,0.52,0.1196,0.38,19.48333333333333,0.1916666666666666,23.125,3.333333333333333,1.0,4.051839,47.04731999999999,,0.4211999999999999,7,False,-0.0988000000000001,33,90.0,,15.0,
47,47,2017-07-01,Jamaame,169536.10499999998,33907.221,14634.356583600002,12430.3872186,2203.969365,0.4316000000000001,0.065,0.28,61.74666666666667,0.3766666666666666,10.0,4.5,1.3333333333333333,0.124303,42.80163000000001,,0.3926,7,False,-0.039,49,171.0,374.782,,
48,48,2017-07-01,Ceel Buur,141229.88999999998,28245.978,14687.90856,11309.6895912,3378.2189688000003,0.52,0.1196,0.33,12.718333333333334,0.1999999999999999,,2.0,2.333333333333333,4.760488,46.84157,,0.4212,7,False,-0.0988,32,,,,
49,49,2017-07-01,Jariiban,83205.71999999999,16641.143999999997,7874.589340799997,6316.978262399999,1557.611078399999,0.4731999999999999,0.0935999999999999,0.38,10.07,0.1533333333333333,50.0,3.333333333333333,,7.163778999999999,48.9986,,0.4004,7,False,-0.0727999999999999,50,,,,
50,50,2017-07-01,Ceel Barde,46070.955,9214.191,4479.939664199998,3186.2672477999995,1293.6724163999995,0.4861999999999998,0.1403999999999999,0.43,17.205000000000002,0.2233333333333333,48.833333333333336,9.5,2.0,4.673877,43.99833,,0.4861999999999998,7,True,0.0,31,,,,
51,51,2017-07-01,Jilib,103739.085,20747.817,8954.757817200001,7606.149712200001,1348.608105,0.4316000000000001,0.065,0.14,70.79833333333333,0.4516666666666666,30.0,7.5,1.75,0.6450100000000001,43.05589000000001,,0.3925999999999999,7,False,-0.0390000000000002,51,520.0,202.8,,
52,52,2017-07-01,Ceel Afweyn,137053.66499999998,27410.733,12186.811891799998,9585.5333301,2601.2785616999995,0.4446,0.0949,0.38,15.371666666666668,0.135,45.0,4.5,1.0,10.14797,46.68845000000001,,0.3367,7,False,-0.1079,30,,,,
53,53,2017-07-01,Jowhar,279295.785,55859.157,20623.200764400004,15975.718902,4647.481862400001,0.3692000000000001,0.0832,0.07,15.24,0.255,16.0,5.833333333333333,13.333333333333334,2.993369,45.56808,,0.351,7,False,-0.0182000000000001,52,40.0,3.822,,
54,54,2017-07-01,Caynabo,69235.29,13847.058,6120.399636,4680.305604,1440.094032,0.442,0.104,0.43,16.83,0.15,,2.0,1.0,9.282376,46.49009,,0.2911999999999999,7,False,-0.1508000000000001,29,,,,
55,55,2017-07-01,Kismaayo,228785.545,45757.109,19473.1682444,16514.556159400006,2958.612085,0.4255768922026957,0.0646590693699639,0.3,56.086666666666666,0.4133333333333333,70.0,8.833333333333334,14.0,-0.3811448,42.00865,,0.3925999999999999,7,False,-0.0329768922026957,53,61.0,437.0,,
56,56,2017-07-01,Caluula,67184.955,13436.991000000002,5450.043549600001,4541.702958000002,908.3405916000004,0.4056,0.0676,0.38,5.688333333333333,0.1716666666666666,20.0,2.6666666666666665,1.0,11.66822,50.79402000000001,,0.3432,7,False,-0.0624,28,,,,
57,57,2017-07-01,Kurtunwaarey,95730.255,19146.051,7068.722029199998,5475.770585999999,1592.9514432,0.3691999999999999,0.0832,0.17,38.73833333333334,0.4016666666666666,10.0,5.833333333333333,1.75,1.674606,44.06695,,0.3510000000000001,7,False,-0.0181999999999998,54,250.0,2.25,,
58,58,2017-07-01,Cadale,48461.80499999999,9692.361,3578.419681199998,2772.0152459999986,806.4044352000002,0.3691999999999999,0.0832,0.17,18.94333333333333,0.22,30.0,6.5,1.8,3.091515,46.26282,,0.351,7,False,-0.0181999999999999,27,,,,
59,59,2017-07-01,Cadaado,81479.34,16295.868,8473.851359999999,6524.865547200001,1948.9858128,0.5199999999999999,0.1195999999999999,0.33,8.985000000000001,0.1766666666666666,,2.833333333333333,2.25,6.130694000000001,47.03673,,0.4212,7,False,-0.0987999999999998,26,,,,
60,60,2017-07-01,Balcad,141077.745,28215.549,10417.1806908,8069.647014,2347.5336768,0.3692,0.0832,0.14,20.65833333333333,0.2716666666666666,40.0,7.0,4.0,2.488555,45.65908,,0.351,7,False,-0.0181999999999999,8,30.0,3.6,,
61,61,2017-07-01,Burtinle,112734.27,22546.854,10200.196749600002,8500.163958,1700.0327915999997,0.4524000000000001,0.0753999999999999,0.22,15.903333333333334,0.18,85.0,3.6666666666666665,,7.802199000000001,48.39912,,0.3795999999999999,7,False,-0.0728000000000002,22,,,,
62,62,2017-07-01,Galdogob,85807.70999999999,17161.541999999998,8120.841674399999,6514.521343199999,1606.3203311999996,0.4732,0.0935999999999999,0.34,14.025,0.1766666666666666,,1.3333333333333333,1.0,7.039169,47.22166000000001,,0.4004,7,False,-0.0728,41,,,,
63,63,2017-07-01,Baidoa,450683.52,90136.704,34017.7997952,23284.863888000003,10732.9359072,0.3774023043398614,0.1190739779790483,0.39,32.67333333333333,0.35,36.04166666666666,14.0,11.0,3.266359,43.63929,,0.2886,7,False,-0.0888023043398613,6,500.0,2.0,6.563,169.521
64,64,2017-07-01,Baki,70268.22,14053.643999999998,5334.7632624,4220.3092932,1114.4539692,0.3796,0.0793,0.23,12.97,0.1266666666666666,,1.3333333333333333,,10.28566,43.7321,,0.169,7,False,-0.2105999999999999,7,,,,
65,65,2017-07-01,Baardheere,170132.26499999998,34026.453,14685.817114800002,12474.0976698,2211.719445,0.4316,0.0649999999999999,0.21,38.105,0.2883333333333333,8.0,8.166666666666666,4.0,2.102048,41.70671,,0.3925999999999999,7,False,-0.039,3,32.0,1.145,1.2,11.448333333333332
66,66,2017-07-01,Afmadow,80386.78,16077.356000000002,6763.226849600002,5704.678709600002,1058.54814,0.4206678541919456,0.0658409342929272,0.1,55.97166666666666,0.365,33.75,5.0,3.0,0.5909003,41.78618,,0.3925999999999999,7,False,-0.0280678541919456,2,23.0,241.0,,
67,67,2017-07-01,Laasqoray,186893.055,37378.611,16618.530450600007,13071.300266700006,3547.230183899999,0.4446000000000001,0.0948999999999999,0.35,14.268333333333333,0.15,,1.1666666666666667,1.0,10.53805,48.69515999999999,,0.3367,7,False,-0.1079000000000001,56,,,,
68,68,2017-07-01,Badhaadhe,50723.28,10144.656,4378.433529600001,3719.030889600001,659.4026400000001,0.4316000000000001,0.065,0.15,63.031666666666666,0.49,,1.8333333333333333,4.0,-0.8536984000000002,41.42942,,0.3926,7,False,-0.039,4,4.0,51.0,,
69,69,2017-07-01,Saakow,178339.81499999997,35667.963,15394.2928308,13075.875235799998,2318.417595,0.4316,0.065,0.07,49.623333333333335,0.3349999999999999,30.0,5.833333333333333,,1.628627,42.06274000000001,,0.3925999999999999,7,False,-0.039,67,200.0,1.4,1.84,67.74666666666667
70,70,2017-07-01,Afgooye,309683.38499999995,61936.677,22867.021148400003,17713.889621999995,5153.1315264,0.3692,0.0831999999999999,0.09,23.366666666666664,0.2566666666666666,15.0,9.5,18.166666666666668,2.236402,45.07666,,0.351,7,False,-0.0181999999999999,1,410.0,5.725,960.0,458.575
71,71,2017-07-01,Xudur,113853.105,22770.621,11071.0759302,7874.080741799999,3196.9951884,0.4862,0.1404,0.45,17.761666666666667,0.2466666666666666,32.208333333333336,8.5,2.333333333333333,4.188905999999999,43.90622,,0.4862,7,True,0.0,77,30.0,50.0,350.0,143.33333333333334
72,72,2017-07-01,Zeylac,64412.19,12882.438,4890.1734648,3868.5961314,1021.5773334,0.3796,0.0793,0.39,9.298333333333334,0.0966666666666666,4.916666666666667,4.5,1.0,10.89293,43.16827,,0.1689999999999999,7,False,-0.2106000000000001,78,,,,
73,73,2017-07-01,Xudun,42361.515,8472.303,3744.757926,2863.638414,881.1195119999999,0.442,0.1039999999999999,0.46,15.235,0.1266666666666666,225.0,1.6666666666666667,,9.141643,47.50746999999999,,0.2912,7,False,-0.1508,76,,,,
74,74,2018-01-01,Burco,534884.8949999999,106976.979,21694.9313412,17244.6890148,4450.2423264,0.2028,0.0416,0.05,15.870000000000005,0.185,8.733333333333333,7.0,3.5,9.141337,45.75868,0.3359409653359994,0.2211366753028379,1,True,0.0183366753028378,21,,,,
75,75,2018-01-01,Xudur,113853.105,22770.621,11071.0759302,7874.080741799999,3196.9951884,0.4862,0.1404,0.14,20.7,0.2483333333333333,30.0,8.5,3.8333333333333335,4.188905999999999,43.90622,0.4862,0.4689020964811947,1,False,-0.0172979035188053,77,50.0,23.0,500.0,191.0
76,76,2018-01-01,Bossaso,316531.98,63306.39599999999,21726.7551072,18434.8225152,3291.932592000001,0.3432,0.052,0.01,9.083333333333334,0.1483333333333333,10.0,6.333333333333333,11.833333333333334,10.9218,49.39968,0.4160559934810628,0.482210605259551,1,True,0.139010605259551,18,,,,
77,77,2018-01-01,Cadale,48461.80499999999,9692.361,3402.018711,2620.8144144000003,781.2042965999998,0.351,0.0805999999999999,0.0,23.55333333333333,0.2266666666666666,,6.166666666666667,1.5,3.091515,46.26282,0.3691999999999999,0.2829201738380863,1,False,-0.0680798261619136,27,12.0,,30.0,
78,78,2018-01-01,Qoryooley,196309.485,39261.897,13780.925847,10616.4169488,3164.5088982,0.351,0.0805999999999999,0.09,20.61,0.3466666666666667,20.5,7.833333333333333,5.666666666666667,1.934555,44.44943,0.3691999999999998,0.4363798525409664,1,True,0.0853798525409664,65,350.0,2.1,600.0,317.3666666666667
79,79,2018-01-01,Baardheere,170132.26499999998,34026.453,13358.7854478,12075.988169699998,1282.7972781,0.3925999999999999,0.0377,0.0,38.45666666666667,0.2933333333333333,8.1,7.833333333333333,7.333333333333333,2.102048,41.70671,0.4316,0.2972606382668021,1,False,-0.0953393617331977,3,28.0,849.0,1.68,292.8933333333333
80,80,2018-01-01,Laas Caanood,170114.66999999998,34022.934,9907.4783808,8624.813769,1282.6646118,0.2911999999999999,0.0377,0.26,15.746666666666668,0.1516666666666666,47.91666666666666,4.833333333333333,3.1666666666666665,8.438008,47.63642000000001,0.442,0.2293654902134254,1,False,-0.0618345097865745,55,,,,
81,81,2018-01-01,Cadaado,81479.34,16295.868,6863.8196016,5783.4035532,1080.4160484,0.4212,0.0663,0.15,14.24,0.185,,2.333333333333333,1.8333333333333333,6.130694000000001,47.03673,0.5199999999999999,0.4263710655123516,1,True,0.0051710655123515,26,,,,
82,82,2018-01-01,Cabudwaaq,73330.78499999999,14666.157,6177.3853284,5205.0191193,972.3662091,0.4212,0.0663,0.14,24.223333333333333,0.215,15.0,5.833333333333333,3.6,5.826085,46.125,0.5200000000000001,0.4299665440197571,1,True,0.008766544019757,25,,,,
83,83,2018-01-01,Luuq,100476.765,20095.353000000006,7889.435587800002,7131.840779700003,757.5948081000001,0.3926,0.0377,0.0,23.28,0.1883333333333333,14.816666666666668,5.833333333333333,1.5,3.792931,42.6976,0.4315999999999998,0.4123022966960434,1,True,0.0197022966960433,59,18.0,630.0,100.0,249.33333333333334
84,84,2018-01-01,Bu'aale,93543.3,18708.66,7345.019915999998,6639.703433999999,705.3164820000002,0.3925999999999999,0.0377,0.0,38.975,0.4233333333333333,29.291666666666668,2.1666666666666665,,1.197985,42.7408,0.4316,0.4125181113098476,1,True,0.0199181113098477,19,378.0,1.35,200.0,193.11666666666667
85,85,2018-01-01,Marka,282222.765,56444.55299999999,19812.038103,15262.6071312,4549.4309718,0.351,0.0806,0.03,14.213333333333331,0.3116666666666667,42.16666666666666,11.0,13.833333333333334,1.740153,44.71787,0.3692,0.3971406259324205,1,True,0.0461406259324205,60,151.4,6.3,500.0,219.23333333333335
86,86,2018-01-01,Qardho,174970.88999999998,34994.178,12010.001889600002,10190.304633600002,1819.697256,0.3432,0.052,0.04,7.013333333333333,0.13,,1.6666666666666667,2.6666666666666665,9.502092,49.50764999999999,0.4112666438059597,0.5372761677527557,1,True,0.1940761677527556,64,,,,
87,87,2018-01-01,Buuhoodle,71317.70999999999,14263.542,2892.6463176,2299.2829704,593.3633472,0.2027999999999999,0.0416,0.17,27.461666666666662,0.2216666666666666,,2.1666666666666665,2.4,8.460162,46.66129,0.3406000000000001,0.226129551832888,1,True,0.023329551832888,23,,,,
88,88,2018-01-01,Zeylac,64412.19,12882.438,2177.132022,1976.1659892,200.9660328,0.1689999999999999,0.0156,0.57,12.045,0.095,5.75,4.666666666666667,,10.89293,43.16827,0.3796,0.4330650433619875,1,True,0.2640650433619875,78,,,,
89,89,2018-01-01,Bulo Burto,181435.5,36287.1,14246.31546,12878.29179,1368.02367,0.3926,0.0377,0.25,23.03,0.2733333333333333,23.33333333333333,3.8333333333333335,7.166666666666667,3.900063,45.53233,0.429,0.3908949717937982,1,False,-0.0017050282062018,20,,378.0,281.012,
90,90,2018-01-01,Owdweyne,78004.845,15600.969,3163.8765132000008,2514.8762028,649.0003104000001,0.2028,0.0416,0.3,16.495,0.15,,0.5,,9.257388,45.01097000000001,0.3406,0.2303423878316652,1,True,0.0275423878316651,61,,,,
91,91,2018-01-01,Burtinle,112734.27,22546.854,8558.785778399999,7386.349370399998,1172.436408,0.3795999999999999,0.052,0.08,10.768333333333333,0.1883333333333333,,4.0,1.0,7.802199000000001,48.39912,0.4524000000000001,0.4927859267135329,1,True,0.113185926713533,22,,,,
92,92,2018-01-01,Galdogob,85807.70999999999,17161.541999999998,6871.481416799998,5889.841214399999,981.6402024,0.4004,0.0572,0.12,14.243333333333332,0.19,,2.333333333333333,1.0,7.039169,47.22166000000001,0.4732,0.4695085383288688,1,True,0.0691085383288688,41,,,,
93,93,2018-01-01,Badhaadhe,50723.28,10144.656,3982.7919456,3600.3384144,382.45353120000016,0.3926,0.0377,0.09,35.37666666666667,0.5016666666666667,,1.5,3.0,-0.8536984000000002,41.42942,0.4316000000000001,0.3711192650605567,1,False,-0.0214807349394433,4,1.0,4.0,,
94,94,2018-01-01,Qansax Dheere,123818.085,24763.617,7146.7798662000005,6180.998803199999,965.781063,0.2886,0.039,0.09,27.285,0.2666666666666666,20.83333333333333,6.666666666666667,2.25,2.81513,42.84011,0.3588,0.5092847348131929,1,True,0.2206847348131929,63,196.0,156.0,6.0,119.33333333333333
95,95,2018-01-01,Qandala,75823.06499999999,15164.612999999998,5204.495181599998,4415.935305599999,788.5598759999998,0.3431999999999999,0.052,0.21,9.72,0.1583333333333333,,1.8333333333333333,3.333333333333333,11.060160000000002,50.08869000000001,0.4055999999999999,0.4649012053458273,1,True,0.1217012053458274,62,,,,
