,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
94,2018-01-01,Qansax Dheere,0.2886,0.5092847348131929,0.3588,0.26666666666666666,0.09,123818.085,1,63,True
95,2018-01-01,Qandala,0.3431999999999999,0.4649012053458273,0.4055999999999999,0.15833333333333333,0.21,75823.06499999999,1,62,True
96,2018-01-01,Buur Hakaba,0.2886,0.4846909879180319,0.3588,0.36333333333333334,0.1,165968.46,1,24,True
97,2018-01-01,Kurtunwaarey,0.3510000000000001,0.4461179568825337,0.3691999999999999,0.365,0.18,95730.255,1,54,True
99,2018-01-01,Kismaayo,0.3925999999999999,0.4685498464822668,0.4255768922026957,0.3433333333333333,0.17,218785.545,1,53,True
100,2018-01-01,Gaalkacyo,0.4004,0.4668580324895174,0.4796931726673279,0.18000000000000002,0.29,584319.6,1,40,True
101,2018-01-01,Adan Yabaal,0.3510000000000001,0.2789393906990287,0.3692,0.225,0.0,65262.95999999999,1,0,False
102,2018-01-01,Garbahaarey,0.3925999999999999,0.345678336354725,0.4316,0.25333333333333335,0.0,91374.975,1,42,False
103,2018-01-01,Eyl,0.3795999999999999,0.456573523755734,0.4523999999999998,0.15166666666666667,0.17,105162.21,1,39,True
104,2018-01-01,Garoowe,0.3795999999999999,0.5170266990935967,0.458347673913086,0.14,0.08,188544.915,1,43,True
105,2018-01-01,Doolow,0.3926,0.5392512067568789,0.4356257436740676,0.20166666666666666,0.0,42455.7,1,38,True
106,2018-01-01,Gebiley,0.1975999999999999,0.2443191130723181,0.338,0.20833333333333334,0.13,146038.5,1,44,True
107,2018-01-01,Diinsoor,0.2886000000000001,0.4769534198876959,0.3588,0.345,0.09,100108.305,1,37,True
108,2018-01-01,Hargeysa,0.1975999999999999,0.2386485041615721,0.3425891325819686,0.0,0.14,1027923.705,1,45,True
109,2018-01-01,Dhuusamarreeb,0.4212,0.3909032104916541,0.5273255872387238,0.20833333333333334,0.18,162957.645,1,36,False
110,2018-01-01,Afgooye,0.351,0.384859060068862,0.3692,0.2733333333333334,0.0,309683.38499999995,1,1,True
111,2018-01-01,Hobyo,0.4003999999999999,0.3354148794445133,0.4732,0.1366666666666667,0.25,142717.185,1,46,False
112,2018-01-01,Ceerigaabo,0.3367000000000001,0.3096083862495412,0.4446,0.13333333333333333,0.24,239221.62,1,35,False
113,2018-01-01,Iskushuban,0.3432,0.4846457772814762,0.4056,0.125,0.16,82588.86,1,47,True
114,2018-01-01,Ceel Waaq,0.3925999999999998,0.2770029164634731,0.4315999999999999,0.2783333333333333,0.0,32041.53,1,34,False
116,2018-01-01,Jalalaqsi,0.3925999999999999,0.3858321287337016,0.4290000000000001,0.2783333333333333,0.16,76346.775,1,48,False
117,2018-01-01,Ceel Dheer,0.4211999999999999,0.3142399717243435,0.52,0.20666666666666667,0.19,130366.52999999998,1,33,False
118,2018-01-01,Jamaame,0.3926,0.4077438698894172,0.4316000000000001,0.3333333333333333,0.25,169536.10499999998,1,49,True
