,date,district,MAM_admissions,SAM_admissions
564,2019-05-01,Burco,53.0,261.0
565,2019-06-01,Burco,0.0,76.0
566,2019-07-01,Burco,38.0,248.0
567,2019-08-01,Burco,36.0,118.0
568,2019-09-01,Burco,161.0,131.0
569,2019-10-01,Burco,167.0,104.0
570,2019-11-01,Burco,0.0,83.0
571,2019-12-01,Burco,0.0,114.0
572,2020-01-01,Burco,742.0,350.0
573,2020-02-01,Burco,1473.0,285.0
574,2020-03-01,Burco,718.0,351.0
575,2020-04-01,Burco,481.0,187.0
576,2020-05-01,Burco,90.0,234.0
577,2020-06-01,Burco,246.0,249.0
578,2020-07-01,Burco,642.0,275.0
579,2020-08-01,Burco,314.0,141.0
580,2020-09-01,Burco,73.0,157.0
581,2020-10-01,Burco,204.0,228.0
582,2020-11-01,Burco,1551.0,217.0
583,2020-12-01,Burco,219.0,127.0
584,2021-01-01,Burco,457.0,146.0
585,2021-02-01,Burco,118.0,130.0
586,2021-03-01,Burco,1847.0,114.0
587,2021-04-01,Burco,2112.0,90.0
588,2021-05-01,Burco,2406.0,86.0
589,2021-06-01,Burco,1914.0,151.0
590,2021-07-01,Burco,1631.0,184.0
591,2021-08-01,Burco,2110.0,164.0
592,2021-09-01,Burco,2460.0,120.0
593,2021-10-01,Burco,2089.0,83.0
594,2021-11-01,Burco,415.0,109.0
595,2019-01-01,Burtinle,457.0,106.0
596,2019-02-01,Burtinle,212.0,109.0
597,2019-03-01,Burtinle,0.0,107.0
598,2019-04-01,Burtinle,0.0,93.0
599,2019-05-01,Burtinle,347.0,120.0
600,2019-06-01,Burtinle,233.0,135.0
601,2019-07-01,Burtinle,263.0,171.0
602,2019-08-01,Burtinle,218.0,238.0
603,2019-09-01,Burtinle,315.0,127.0
604,2019-10-01,Burtinle,157.0,97.0
605,2019-11-01,Burtinle,60.0,89.0
606,2019-12-01,Burtinle,200.0,91.0
607,2020-01-01,Burtinle,256.0,86.0
608,2020-02-01,Burtinle,289.0,104.0
609,2020-03-01,Burtinle,126.0,98.0
610,2020-04-01,Burtinle,154.0,84.0
611,2020-05-01,Burtinle,112.0,61.0
612,2020-06-01,Burtinle,112.0,88.0
613,2020-07-01,Burtinle,171.0,75.0
614,2020-08-01,Burtinle,123.0,124.0
615,2020-09-01,Burtinle,104.0,39.0
616,2020-10-01,Burtinle,361.0,79.0
617,2020-11-01,Burtinle,252.0,190.0
618,2020-12-01,Burtinle,130.0,87.0
619,2021-01-01,Burtinle,225.0,146.0
620,2021-02-01,Burtinle,206.0,193.0
621,2021-03-01,Burtinle,212.0,112.0
622,2021-04-01,Burtinle,147.0,121.0
623,2021-05-01,Burtinle,199.0,121.0
624,2021-06-01,Burtinle,206.0,96.0
625,2021-07-01,Burtinle,246.0,129.0
626,2021-08-01,Burtinle,202.0,137.0
627,2021-09-01,Burtinle,197.0,155.0
628,2021-10-01,Burtinle,203.0,116.0
629,2021-11-01,Burtinle,271.0,146.0
630,2019-01-01,Buuhoodle,193.0,79.0
631,2019-02-01,Buuhoodle,0.0,20.0
632,2019-03-01,Buuhoodle,0.0,116.0
633,2019-04-01,Buuhoodle,0.0,55.0
634,2019-05-01,Buuhoodle,0.0,50.0
635,2019-06-01,Buuhoodle,0.0,45.0
636,2019-07-01,Buuhoodle,0.0,55.0
637,2019-08-01,Buuhoodle,0.0,77.0
638,2019-09-01,Buuhoodle,0.0,80.0
639,2019-10-01,Buuhoodle,0.0,55.0
640,2019-11-01,Buuhoodle,0.0,56.0
641,2019-12-01,Buuhoodle,535.0,113.0
642,2020-01-01,Buuhoodle,610.0,209.0
643,2020-02-01,Buuhoodle,580.0,344.0
644,2020-03-01,Buuhoodle,926.0,357.0
645,2020-04-01,Buuhoodle,766.0,463.0
646,2020-05-01,Buuhoodle,750.0,509.0
647,2020-06-01,Buuhoodle,716.0,534.0
648,2020-07-01,Buuhoodle,710.0,434.0
649,2020-08-01,Buuhoodle,778.0,499.0
650,2020-09-01,Buuhoodle,720.0,394.0
651,2020-10-01,Buuhoodle,816.0,399.0
652,2020-11-01,Buuhoodle,730.0,411.0
653,2020-12-01,Buuhoodle,750.0,340.0
654,2021-01-01,Buuhoodle,781.0,490.0
655,2021-02-01,Buuhoodle,752.0,390.0
656,2021-03-01,Buuhoodle,790.0,0.0
657,2021-04-01,Buuhoodle,473.0,0.0
658,2021-05-01,Buuhoodle,607.0,38.0
659,2021-06-01,Buuhoodle,1413.0,42.0
660,2021-07-01,Buuhoodle,465.0,38.0
661,2021-08-01,Buuhoodle,495.0,44.0
662,2021-09-01,Buuhoodle,454.0,27.0
663,2021-10-01,Buuhoodle,515.0,56.0
664,2021-11-01,Buuhoodle,0.0,111.0
665,2019-01-01,Buur Hakaba,0.0,255.0
666,2019-02-01,Buur Hakaba,0.0,138.0
667,2019-03-01,Buur Hakaba,0.0,263.0
668,2019-04-01,Buur Hakaba,0.0,252.0
669,2019-05-01,Buur Hakaba,0.0,347.0
670,2019-06-01,Buur Hakaba,0.0,434.0
671,2019-07-01,Buur Hakaba,0.0,233.0
672,2019-08-01,Buur Hakaba,0.0,169.0
673,2019-09-01,Buur Hakaba,347.0,242.0
674,2019-10-01,Buur Hakaba,0.0,0.0
675,2019-11-01,Buur Hakaba,238.0,275.0
676,2019-12-01,Buur Hakaba,213.0,323.0
677,2020-01-01,Buur Hakaba,445.0,339.0
678,2020-02-01,Buur Hakaba,825.0,443.0
679,2020-03-01,Buur Hakaba,957.0,385.0
680,2020-04-01,Buur Hakaba,415.0,166.0
681,2020-05-01,Buur Hakaba,332.0,178.0
682,2020-06-01,Buur Hakaba,319.0,201.0
683,2020-07-01,Buur Hakaba,237.0,116.0
684,2020-08-01,Buur Hakaba,333.0,164.0
685,2020-09-01,Buur Hakaba,324.0,164.0
686,2020-10-01,Buur Hakaba,315.0,147.0
687,2020-11-01,Buur Hakaba,291.0,162.0
688,2020-12-01,Buur Hakaba,263.0,160.0
689,2021-01-01,Buur Hakaba,352.0,195.0
690,2021-02-01,Buur Hakaba,327.0,155.0
691,2021-03-01,Buur Hakaba,341.0,156.0
692,2021-04-01,Buur Hakaba,322.0,178.0
693,2021-05-01,Buur Hakaba,368.0,218.0
694,2021-06-01,Buur Hakaba,385.0,260.0
695,2021-07-01,Buur Hakaba,266.0,193.0
696,2021-08-01,Buur Hakaba,369.0,241.0
697,2021-09-01,Buur Hakaba,291.0,278.0
698,2021-10-01,Buur Hakaba,269.0,282.0
699,2021-11-01,Buur Hakaba,249.0,309.0
700,2019-01-01,Cabudwaaq,0.0,188.0
701,2019-02-01,Cabudwaaq,126.0,0.0
702,2019-03-01,Cabudwaaq,97.0,88.0
703,2019-04-01,Cabudwaaq,,
704,2019-05-01,Cabudwaaq,0.0,36.0
705,2019-06-01,Cabudwaaq,0.0,81.0
706,2019-07-01,Cabudwaaq,,
707,2019-08-01,Cabudwaaq,0.0,0.0
708,2019-09-01,Cabudwaaq,,
709,2019-10-01,Cabudwaaq,,
710,2019-11-01,Cabudwaaq,456.0,0.0
711,2019-12-01,Cabudwaaq,,
712,2020-01-01,Cabudwaaq,2820.0,208.0
713,2020-02-01,Cabudwaaq,0.0,86.0
714,2020-03-01,Cabudwaaq,0.0,96.0
715,2020-04-01,Cabudwaaq,0.0,129.0
716,2020-05-01,Cabudwaaq,207.0,57.0
717,2020-06-01,Cabudwaaq,440.0,455.0
718,2020-07-01,Cabudwaaq,438.0,500.0
719,2020-08-01,Cabudwaaq,180.0,205.0
720,2020-09-01,Cabudwaaq,152.0,175.0
721,2020-10-01,Cabudwaaq,399.0,163.0
722,2020-11-01,Cabudwaaq,682.0,253.0
723,2020-12-01,Cabudwaaq,425.0,177.0
724,2021-01-01,Cabudwaaq,,
725,2021-02-01,Cabudwaaq,,
726,2021-03-01,Cabudwaaq,,
727,2021-04-01,Cabudwaaq,0.0,125.0
728,2021-05-01,Cabudwaaq,,
729,2021-06-01,Cabudwaaq,0.0,117.0
730,2021-07-01,Cabudwaaq,0.0,140.0
731,2021-08-01,Cabudwaaq,0.0,193.0
732,2021-09-01,Cabudwaaq,387.0,122.0
733,2021-10-01,Cabudwaaq,640.0,241.0
734,2021-11-01,Cabudwaaq,645.0,347.0
735,2019-01-01,Cadaado,427.0,47.0
736,2019-02-01,Cadaado,453.0,35.0
737,2019-03-01,Cadaado,370.0,72.0
738,2019-04-01,Cadaado,305.0,58.0
739,2019-05-01,Cadaado,201.0,62.0
740,2019-06-01,Cadaado,399.0,55.0
741,2019-07-01,Cadaado,320.0,47.0
742,2019-08-01,Cadaado,426.0,42.0
743,2019-09-01,Cadaado,409.0,47.0
744,2019-10-01,Cadaado,389.0,36.0
745,2019-11-01,Cadaado,239.0,95.0
746,2019-12-01,Cadaado,400.0,163.0
747,2020-01-01,Cadaado,263.0,73.0
748,2020-02-01,Cadaado,159.0,46.0
749,2020-03-01,Cadaado,629.0,41.0
750,2020-04-01,Cadaado,186.0,21.0
751,2020-05-01,Cadaado,187.0,33.0
752,2020-06-01,Cadaado,610.0,61.0
753,2020-07-01,Cadaado,419.0,107.0
754,2020-08-01,Cadaado,482.0,94.0
755,2020-09-01,Cadaado,221.0,34.0
756,2020-10-01,Cadaado,19.0,37.0
757,2020-11-01,Cadaado,239.0,31.0
758,2020-12-01,Cadaado,209.0,56.0
759,2021-01-01,Cadaado,252.0,45.0
760,2021-02-01,Cadaado,168.0,30.0
761,2021-03-01,Cadaado,190.0,41.0
762,2021-04-01,Cadaado,192.0,38.0
763,2021-05-01,Cadaado,257.0,50.0
764,2021-06-01,Cadaado,209.0,41.0
765,2021-07-01,Cadaado,136.0,43.0
766,2021-08-01,Cadaado,57.0,41.0
767,2021-09-01,Cadaado,0.0,64.0
768,2021-10-01,Cadaado,0.0,257.0
769,2021-11-01,Cadaado,0.0,304.0
770,2019-01-01,Cadale,,
771,2019-02-01,Cadale,182.0,18.0
772,2019-03-01,Cadale,158.0,10.0
773,2019-04-01,Cadale,81.0,0.0
774,2019-05-01,Cadale,152.0,0.0
775,2019-06-01,Cadale,136.0,0.0
776,2019-07-01,Cadale,,
777,2019-08-01,Cadale,,
778,2019-09-01,Cadale,,
779,2019-10-01,Cadale,,
780,2019-11-01,Cadale,,
781,2019-12-01,Cadale,250.0,58.0
782,2020-01-01,Cadale,403.0,138.0
783,2020-02-01,Cadale,321.0,336.0
784,2020-03-01,Cadale,88.0,126.0
785,2020-04-01,Cadale,6.0,69.0
786,2020-05-01,Cadale,297.0,137.0
787,2020-06-01,Cadale,508.0,367.0
788,2020-07-01,Cadale,757.0,319.0
789,2020-08-01,Cadale,149.0,180.0
790,2020-09-01,Cadale,160.0,168.0
791,2020-10-01,Cadale,140.0,24.0
792,2020-11-01,Cadale,80.0,16.0
793,2020-12-01,Cadale,,
794,2021-01-01,Cadale,81.0,19.0
795,2021-02-01,Cadale,28.0,11.0
796,2021-03-01,Cadale,104.0,21.0
797,2021-04-01,Cadale,68.0,13.0
798,2021-05-01,Cadale,266.0,14.0
799,2021-06-01,Cadale,362.0,15.0
800,2021-07-01,Cadale,100.0,16.0
801,2021-08-01,Cadale,77.0,13.0
802,2021-09-01,Cadale,131.0,15.0
803,2021-10-01,Cadale,261.0,20.0
804,2021-11-01,Cadale,169.0,17.0
805,2019-01-01,Caluula,0.0,58.0
806,2019-02-01,Caluula,0.0,27.0
807,2019-03-01,Caluula,,
808,2019-04-01,Caluula,876.0,15.0
809,2019-05-01,Caluula,0.0,50.0
810,2019-06-01,Caluula,0.0,31.0
811,2019-07-01,Caluula,0.0,32.0
812,2019-08-01,Caluula,0.0,34.0
813,2019-09-01,Caluula,0.0,31.0
814,2019-10-01,Caluula,0.0,32.0
815,2019-11-01,Caluula,,
