,date,district,prevalence,next_prevalence,prevalence_6lag,ndvi,ipc,population,month,district_encoded,increase
531,2018-02-01,Jalalaqsi,0.3925999999999999,0.3925999999999999,0.4290000000000001,0.25,0.16,76346.775,2,48,True
532,2018-02-01,Dhuusamarreeb,0.4212,0.4212,0.5273255872387238,0.19,0.18,162957.645,2,36,True
533,2018-02-01,Cabudwaaq,0.4212,0.4212,0.5200000000000001,0.19,0.14,73330.78499999999,2,25,True
534,2018-02-01,Eyl,0.3795999999999999,0.3795999999999999,0.4523999999999998,0.14,0.17,105162.21,2,39,True
535,2018-02-01,Balcad,0.351,0.351,0.3692,0.26,0.0,141077.745,2,8,True
536,2018-02-01,Diinsoor,0.2886000000000001,0.2886000000000001,0.3588,0.26,0.09,100108.305,2,37,True
537,2018-02-01,Garbahaarey,0.3925999999999999,0.3925999999999999,0.4316,0.21,0.0,91374.975,2,42,True
540,2018-02-01,Qardho,0.3432,0.3432,0.4112666438059597,0.12,0.04,174970.88999999998,2,64,True
541,2018-02-01,Hobyo,0.4003999999999999,0.4003999999999999,0.4732,0.16,0.25,142717.185,2,46,True
542,2018-02-01,Jilib,0.3925999999999999,0.3925999999999999,0.4316000000000001,0.37,0.09,103739.085,2,51,True
543,2018-02-01,Owdweyne,0.2028,0.2028,0.3406,0.15,0.3,78004.845,2,61,True
544,2018-02-01,Badhaadhe,0.3926,0.3926,0.4316000000000001,0.37,0.09,50723.28,2,4,True
545,2018-02-01,Wanla Weyn,0.351,0.351,0.3692,0.23,0.0,227667.915,2,74,True
546,2018-02-01,Xudun,0.2912,0.2912,0.442,0.12,0.34,42361.515,2,76,True
547,2018-02-01,Bandarbeyla,0.3432000000000001,0.3432000000000001,0.4056,0.13,0.15,27594.135,2,10,True
548,2018-02-01,Afgooye,0.351,0.351,0.3692,0.22,0.0,309683.38499999995,2,1,True
549,2018-02-01,Taleex,0.2912,0.2912,0.442,0.12,0.37,57175.47,2,71,True
550,2018-02-01,Laas Caanood,0.2911999999999999,0.2911999999999999,0.442,0.14,0.26,170114.66999999998,2,55,True
551,2018-02-01,Afmadow,0.3925999999999999,0.3925999999999999,0.4206678541919456,0.26,0.01,67386.78,2,2,True
552,2018-02-01,Ceel Barde,0.4861999999999998,0.4861999999999998,0.4861999999999998,0.18,0.0,46070.955,2,31,True
553,2018-02-01,Waajid,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.19,0.11,85276.75499999999,2,73,True
554,2018-02-01,Doolow,0.3926,0.3926,0.4356257436740676,0.18,0.0,42455.7,2,38,True
556,2018-02-01,Iskushuban,0.3432,0.3432,0.4056,0.13,0.16,82588.86,2,47,True
557,2018-02-01,Belet Weyne,0.3926,0.3926,0.429,0.19,0.24,281126.69999999995,2,13,True
558,2018-02-01,Tayeeglow,0.4861999999999999,0.4861999999999999,0.4861999999999999,0.25,0.08,99175.77,2,72,True
559,2018-02-01,Caluula,0.3432,0.3432,0.4056,0.18,0.21,67184.955,2,28,True
560,2018-02-01,Marka,0.351,0.351,0.3692,0.3,0.03,282222.765,2,60,True
561,2018-02-01,Qandala,0.3431999999999999,0.3431999999999999,0.4055999999999999,0.17,0.21,75823.06499999999,2,62,True
562,2018-02-01,Belet Xaawo,0.3926,0.3926,0.4316000000000001,0.22,0.0,89717.93999999997,2,15,True
563,2018-02-01,Bu'aale,0.3925999999999999,0.3925999999999999,0.4316,0.34,0.0,93543.3,2,19,True
564,2018-02-01,Caynabo,0.2911999999999999,0.2911999999999999,0.442,0.14,0.31,69235.29,2,29,True
565,2018-02-01,Sablaale,0.3510000000000001,0.3510000000000001,0.3692,0.36,0.11,62978.715,2,69,True
566,2018-02-01,Kismaayo,0.3925999999999999,0.3925999999999999,0.4255768922026957,0.3,0.17,218785.545,2,53,True
567,2018-02-01,Xarardheere,0.4004000000000001,0.4004000000000001,0.4732000000000002,0.2,0.09,278193.50999999995,2,75,True
568,2018-02-01,Berbera,0.1976,0.1976,0.3387799937377845,0.11,0.17,111510.9,2,16,True
569,2018-02-01,Cadaado,0.4212,0.4212,0.5199999999999999,0.17,0.15,81479.34,2,26,True
570,2018-02-01,Adan Yabaal,0.3510000000000001,0.3510000000000001,0.3692,0.2,0.0,65262.95999999999,2,0,True
571,2018-02-01,Bulo Burto,0.3926,0.3926,0.429,0.22,0.25,181435.5,2,20,True
572,2018-02-01,Qansax Dheere,0.2886,0.2886,0.3588,0.24,0.09,123818.085,2,63,True
573,2018-02-01,Jariiban,0.4004,0.4004,0.4731999999999999,0.15,0.2,83205.71999999999,2,50,True
574,2018-02-01,Gebiley,0.1975999999999999,0.1975999999999999,0.338,0.16,0.13,146038.5,2,44,True
575,2018-02-01,Ceel Afweyn,0.3367,0.3367,0.4446,0.13,0.27,137053.66499999998,2,30,True
