,date,district,total population,Under-Five Population,GAM,MAM,SAM,GAM Prevalence,SAM Prevalence,phase3plus_perc_x,rainfall,ndvi_score,Price of water,Total alarms,n_conflict_total,Average of centy,Average of centx,6lag_next_prevalence,prevalence_6lag,next_prevalence,prevalence_1lag,month,increase,increase_numeric,district_encoded
57,2017-07-01,Borama,491879.61,98375.922,37343.49999119999,29542.2893766,7801.2106146000015,0.3795999999999999,0.0793,0.07,14.67,0.16,4.5,6.0,1.0,10.18763,43.17024,0.1690000000000001,,0.3795999999999999,,7,True,0.0,17
58,2017-07-01,Cadaado,81479.34,16295.868,8473.851359999999,6524.865547200001,1948.9858128,0.5199999999999999,0.1195999999999999,0.33,1.58,0.16,,3.0,2.0,6.130694,47.03673,0.4212,,0.5199999999999999,,7,True,0.0,26
59,2017-07-01,Qandala,75823.06499999999,15164.612999999998,6150.767032799999,5125.639193999999,1025.1278387999996,0.4055999999999999,0.0675999999999999,0.38,0.86,0.16,,1.0,6.0,11.06016,50.08869,0.3431999999999999,,0.4055999999999999,,7,True,0.0,62
60,2017-07-01,Galdogob,85807.70999999999,17161.541999999998,8120.841674399999,6514.521343199999,1606.3203311999996,0.4732,0.0935999999999999,0.34,0.35,0.17,,1.0,1.0,7.039169,47.22166,0.4004,,0.4732,,7,True,0.0,41
61,2017-07-01,Qansax Dheere,123818.085,24763.617,8885.1857796,6116.613399,2768.5723806,0.3588,0.1117999999999999,0.42,11.79,0.28,26.0,10.0,2.0,2.81513,42.84011,0.2886,,0.3588,,7,True,0.0,63
62,2017-07-01,Buur Hakaba,165968.46,33193.692,11909.896689600002,8198.841924000002,3711.0547656,0.3588,0.1117999999999999,0.35,21.65,0.39,,4.0,2.0,2.485374,44.00688,0.2886,,0.3588,,7,True,0.0,24
63,2017-07-01,Baidoa,450683.52,90136.704,34017.7997952,23284.863888000003,10732.9359072,0.3774023043398614,0.1190739779790483,0.39,20.63,0.38,25.0,13.0,14.0,3.266359,43.63929,0.2886,,0.3774023043398614,,7,True,0.0,6
64,2017-07-01,Garoowe,207534.915,41506.983,19024.629109200006,15697.506591,3327.122518200001,0.458347673913086,0.0801581391304687,0.13,0.09,0.13,4.25,6.0,1.0,8.470396000000001,48.78639,0.3795999999999999,,0.458347673913086,,7,True,0.0,43
65,2017-07-01,Bu'aale,93543.3,18708.66,8074.657656,6858.594756,1216.0629,0.4316,0.0649999999999999,0.07,22.45,0.6,30.0,2.0,1.0,1.197985,42.7408,0.3925999999999999,,0.4316,,7,True,0.0,19
66,2017-07-01,Xudun,42361.515,8472.303,3744.757926,2863.638414,881.1195119999999,0.442,0.1039999999999999,0.46,1.14,0.12,,0.0,2.0,9.141643,47.50747,0.2912,,0.442,,7,True,0.0,76
67,2017-07-01,Afmadow,80386.78,16077.356000000002,6763.226849600002,5704.678709600002,1058.54814,0.4206678541919456,0.0658409342929272,0.1,27.68,0.43,40.0,3.0,5.0,0.5909003,41.78618,0.3925999999999999,,0.4206678541919456,,7,True,0.0,2
68,2017-07-01,Ceel Barde,46070.955,9214.191,4479.939664199998,3186.2672477999995,1293.6724163999995,0.4861999999999998,0.1403999999999999,0.43,10.79,0.19,68.0,9.0,3.0,4.673877,43.99833,0.4861999999999998,,0.4861999999999998,,7,True,0.0,31
69,2017-07-01,Taleex,57175.47,11435.094,5054.311548,3865.061772,1189.249776,0.442,0.104,0.39,0.67,0.12,,1.0,,9.179458,48.54122,0.2912,,0.442,,7,True,0.0,71
