,date,district,prevalence,next_prevalence,ndvi,ipc,population,rainfall,month,total_alarms,district_encoded
98,2018-01-01,Ceel Afweyn,0.3367,0.2906972787612182,0.1383333333333333,0.27,137053.66499999998,17.48,1,4.0,30
99,2018-01-01,Caynabo,0.2911999999999999,0.2428031590674251,0.1483333333333333,0.31,69235.29,13.275,1,1.1666666666666667,29
100,2018-01-01,Jilib,0.3925999999999999,0.4060356888423295,0.3916666666666666,0.09,103739.085,32.443333333333335,1,4.0,51
101,2018-01-01,Jamaame,0.3926,0.4077438698894172,0.3333333333333333,0.25,169536.10499999998,23.81,1,4.166666666666667,49
102,2018-01-01,Caluula,0.3432,0.4507637375759017,0.1733333333333333,0.21,67184.955,4.72,1,4.0,28
103,2018-01-01,Jowhar,0.351,0.3830459721840857,0.26,0.0,279295.785,23.016666666666666,1,5.333333333333333,52
104,2018-01-01,Ceel Barde,0.4861999999999998,0.34701491572768,0.2533333333333333,0.0,46070.955,18.793333333333333,1,5.5,31
105,2018-01-01,Cadale,0.351,0.2829201738380863,0.2266666666666666,0.0,48461.80499999999,23.55333333333333,1,6.166666666666667,27
106,2018-01-01,Zeylac,0.1689999999999999,0.4330650433619875,0.095,0.57,64412.19,12.045,1,4.666666666666667,76
107,2018-01-01,Kismaayo,0.3925999999999999,0.4685498464822668,0.3433333333333333,0.17,218785.545,29.801666666666662,1,7.5,53
108,2018-01-01,Jalalaqsi,0.3925999999999999,0.3858321287337016,0.2783333333333333,0.16,76346.775,22.641666666666666,1,4.0,48
109,2018-01-01,Cadaado,0.4212,0.4263710655123516,0.185,0.15,81479.34,14.24,1,2.333333333333333,26
110,2018-01-01,Baardheere,0.3925999999999999,0.2972606382668021,0.2933333333333333,0.0,170132.26499999998,38.45666666666667,1,7.833333333333333,3
111,2018-01-01,Kurtunwaarey,0.3510000000000001,0.4461179568825337,0.365,0.18,95730.255,24.39,1,6.5,54
112,2018-01-01,Ceel Buur,0.4212,0.3602624374798162,0.2233333333333333,0.14,141229.88999999998,20.66333333333333,1,1.8333333333333333,32
113,2018-01-01,Cabudwaaq,0.4212,0.4299665440197571,0.215,0.14,73330.78499999999,24.223333333333333,1,5.833333333333333,25
114,2018-01-01,Laas Caanood,0.2911999999999999,0.2293654902134254,0.1516666666666666,0.26,170114.66999999998,15.746666666666668,1,4.833333333333333,55
115,2018-01-01,Buur Hakaba,0.2886,0.4846909879180319,0.3633333333333333,0.1,165968.46,25.53,1,5.0,24
116,2018-01-01,Iskushuban,0.3432,0.4846457772814762,0.125,0.16,82588.86,4.785,1,2.6666666666666665,47
117,2018-01-01,Laasqoray,0.3367,0.2261999999999999,0.1433333333333333,0.33,186893.055,9.473333333333333,1,1.5,56
